fold,seed,teto,epoca,perda
1,1337,100,2,0.5880000065614986
1,1337,100,3,0.5774126498633366
1,1337,100,4,0.5699587846707309
1,1337,100,5,0.5667650615468142
1,1337,100,6,0.5608931900047929
1,1337,100,7,0.558175106266393
1,1337,100,8,0.558685696367854
1,1337,100,9,0.5548602780983918
1,1337,100,10,0.553756233752209
1,1337,100,11,0.5517101901419289
1,1337,100,12,0.5498498187804073
1,1337,100,13,0.5503999435485606
1,1337,100,14,0.5488757752483305
1,1337,100,15,0.5476895639691147
1,1337,100,16,0.5459852058223963
1,1337,100,17,0.5449705121018342
1,1337,100,18,0.5448370076763702
1,1337,100,19,0.5433165278304236
1,1337,100,20,0.5429670187424644
1,1337,100,21,0.542215846781941
1,1337,100,22,0.5421197144874997
1,1337,100,23,0.5397660746662838
1,1337,100,24,0.5397782399460026
1,1337,100,25,0.5407506760606536
1,1337,100,26,0.5382320901991817
1,1337,100,27,0.5404432359657986
1,1337,100,28,0.539064719547552
1,1337,100,29,0.537778461231972
1,1337,100,30,0.5365546187830095
1,1337,100,31,0.5377711095814903
1,1337,100,32,0.5379263013200735
1,1337,100,33,0.5368183210919805
1,1337,100,34,0.5361605894476197
1,1337,100,35,0.5368652423130751
1,1337,100,36,0.5344541860157637
1,1337,100,37,0.5338416501134791
1,1337,100,38,0.5342167086117792
1,1337,100,39,0.5352402600130006
1,1337,100,40,0.533630208039368
1,1337,100,41,0.5326715588064396
1,1337,100,42,0.5322080029184256
1,1337,100,43,0.532043844709537
1,1337,100,44,0.5324345961837166
1,1337,100,45,0.5318759549138247
1,1337,100,46,0.5312063125631009
1,1337,100,47,0.5317251576642102
1,1337,100,48,0.5326674371259892
1,1337,100,49,0.5327223907537411
1,1337,100,50,0.5314321902368194
1,1337,100,51,0.5330066370786566
1,1337,100,52,0.5295136628325678
1,1337,100,53,0.5298995530728642
1,1337,100,54,0.5304637571766737
1,1337,100,55,0.5294103225893492
1,1337,100,56,0.53048509398439
1,1337,100,57,0.5286714888697212
1,1337,100,58,0.5296319635045275
1,1337,100,59,0.5289657895328317
1,1337,100,60,0.5283880951067723
1,1337,100,61,0.5293765138666382
1,1337,100,62,0.5286842503205103
1,1337,100,63,0.5272440478331502
1,1337,100,64,0.5271255380248726
1,1337,100,65,0.5260629013549443
1,1337,100,66,0.5282054436803019
1,1337,100,67,0.5273376870777426
1,1337,100,68,0.5259398395590889
1,1337,100,69,0.5276433323528432
1,1337,100,70,0.526205856004582
1,1337,100,71,0.5252391136216357
1,1337,100,72,0.5269658276570808
1,1337,100,73,0.5259841071886769
1,1337,100,74,0.5253565977094894
1,1337,100,75,0.5238451365148666
1,1337,100,76,0.5261003860209477
1,1337,100,77,0.524869589435708
1,1337,100,78,0.524701147816393
1,1337,100,79,0.5249381938791158
1,1337,100,80,0.5253299129071336
1,1337,100,81,0.5241496641613684
1,1337,100,82,0.5242267931970414
1,1337,100,83,0.5241371075718034
1,1337,100,84,0.5241990602917702
1,1337,100,85,0.5255224543978416
1,1337,100,86,0.5258671391321637
1,1337,800,1,0.6443005598082406
1,1337,800,2,0.5880000065614986
1,1337,800,3,0.5774126498633366
1,1337,800,4,0.5699587846707309
1,1337,800,5,0.5667650615468142
1,1337,800,6,0.5608931900047929
1,1337,800,7,0.558175106266393
1,1337,800,8,0.558685696367854
1,1337,800,9,0.5548602780983918
1,1337,800,10,0.553756233752209
1,1337,800,11,0.5517101901419289
1,1337,800,12,0.5498498187804073
1,1337,800,13,0.5503999435485606
1,1337,800,14,0.5488757752483305
1,1337,800,15,0.5476895639691147
1,1337,800,16,0.5459852058223963
1,1337,800,17,0.5449705121018342
1,1337,800,18,0.5448370076763702
1,1337,800,19,0.5433165278304236
1,1337,800,20,0.5429670187424644
1,1337,800,21,0.542215846781941
1,1337,800,22,0.5421197144874997
1,1337,800,23,0.5397660746662838
1,1337,800,24,0.5397782399460026
1,1337,800,25,0.5407506760606536
1,1337,800,26,0.5382320901991817
1,1337,800,27,0.5404432359657986
1,1337,800,28,0.539064719547552
1,1337,800,29,0.537778461231972
1,1337,800,30,0.5365546187830095
1,1337,800,31,0.5377711095814903
1,1337,800,32,0.5379263013200735
1,1337,800,33,0.5368183210919805
1,1337,800,34,0.5361605894476197
1,1337,800,35,0.5368652423130751
1,1337,800,36,0.5344541860157637
1,1337,800,37,0.5338416501134791
1,1337,800,38,0.5342167086117792
1,1337,800,39,0.5352402600130006
1,1337,800,40,0.533630208039368
1,1337,800,41,0.5326715588064396
1,1337,800,42,0.5322080029184256
1,1337,800,43,0.532043844709537
1,1337,800,44,0.5324345961837166
1,1337,800,45,0.5318759549138247
1,1337,800,46,0.5312063125631009
1,1337,800,47,0.5317251576642102
1,1337,800,48,0.5326674371259892
1,1337,800,49,0.5327223907537411
1,1337,800,50,0.5314321902368194
1,1337,800,51,0.5330066370786566
1,1337,800,52,0.5295136628325678
1,1337,800,53,0.5298995530728642
1,1337,800,54,0.5304637571766737
1,1337,800,55,0.5294103225893492
1,1337,800,56,0.53048509398439
1,1337,800,57,0.5286714888697212
1,1337,800,58,0.5296319635045275
1,1337,800,59,0.5289657895328317
1,1337,800,60,0.5283880951067723
1,1337,800,61,0.5293765138666382
1,1337,800,62,0.5286842503205103
1,1337,800,63,0.5272440478331502
1,1337,800,64,0.5271255380248726
1,1337,800,65,0.5260629013549443
1,1337,800,66,0.5282054436803019
1,1337,800,67,0.5273376870777426
1,1337,800,68,0.5259398395590889
1,1337,800,69,0.5276433323528432
1,1337,800,70,0.526205856004582
1,1337,800,71,0.5252391136216357
1,1337,800,72,0.5269658276570808
1,1337,800,73,0.5259841071886769
1,1337,800,74,0.5253565977094894
1,1337,800,75,0.5238451365148666
1,1337,800,76,0.5261003860209477
1,1337,800,77,0.524869589435708
1,1337,800,78,0.524701147816393
