modelo,seed,corte,grupo,n,positivos,mcc,f1,precision,recall,pr_auc,roc_auc,accuracy,tn,fp,fn,tp
GB,2024,estreia,0,12238,4192,0.1798515391266631,0.45139829986448193,0.4667515923566879,0.43702290076335876,0.4721754277705305,0.6404051584116521,0.6361333551233862,5953,2093,2360,1832
GB,2024,estreia,1,1962,377,0.34834329251014173,0.4901185770750988,0.3905511811023622,0.6578249336870027,0.4349673576803995,0.7737634822481989,0.7370030581039755,1198,387,129,248
GB,2024,reentrada,0,13895,4455,0.19581276663886524,0.4515106936743239,0.45527156549520764,0.4478114478114478,0.46309697948793593,0.6603688247826667,0.6511694854264124,7053,2387,2460,1995
GB,2024,reentrada,1,305,114,0.2538977079459493,0.5821917808219178,0.47752808988764045,0.7456140350877193,0.5606915425253554,0.6853357215027096,0.6,98,93,29,85
GB,2024,radio_presente,0,8344,2449,0.2230299508384453,0.4675716440422323,0.4343257443082312,0.5063291139240507,0.44532150795022674,0.6797079765641477,0.6615532118887824,4280,1615,1209,1240
GB,2024,radio_presente,1,5856,2120,0.17422648913043765,0.4392156862745098,0.49266862170087977,0.39622641509433965,0.4947678647268917,0.6381609581431053,0.6337090163934426,2871,865,1280,840
GB,2024,streaming_presente,0,8232,2883,0.16347291679340303,0.47056883759274526,0.4484600879949717,0.49497051682275406,0.4721807932697815,0.629109716534423,0.6099368318756074,3594,1755,1456,1427
GB,2024,streaming_presente,1,5968,1686,0.23289779081023393,0.4262402088772846,0.47387518142235124,0.38730723606168443,0.4625433139195729,0.6980652409628875,0.7054289544235925,3557,725,1033,653
GB,2024,digital_presente,0,11735,3843,0.19445981576875762,0.4602272727272727,0.4568059471930274,0.4637002341920375,0.4659106518133125,0.6567752612387977,0.643800596506178,5773,2119,2061,1782
GB,2024,digital_presente,1,2465,726,0.20895412129884255,0.43032490974729243,0.45220030349013657,0.41046831955922863,0.46434715793831904,0.6798035506932993,0.6799188640973631,1378,361,428,298
GB,2024,album_presente,0,5870,2062,0.16506203821889306,0.4836716681376876,0.4437246963562753,0.5315227934044617,0.4713282719332025,0.6188811879019309,0.6013628620102215,2434,1374,966,1096
GB,2024,album_presente,1,8330,2507,0.21431301332717106,0.4281052860561236,0.47081339712918663,0.3925009972078181,0.4646412609834117,0.6902269386744079,0.6843937575030012,4717,1106,1523,984
