atributo,inferior,superior,proporcao_referencia,proporcao_recente,referencia,recente
streaming_rank,46.0,51.0,0.03489241408312502,0.032704358234175876,D0,D2
streaming_rank,51.0,inf,0.5652991612737425,0.5796310638597479,D0,D2
digital_rank,-inf,11.0,0.09549564282877368,0.07889178342603675,D0,D2
digital_rank,11.0,22.0,0.0999112211760858,0.07128775610786453,D0,D2
digital_rank,22.0,34.0,0.10266803728710604,0.02348095472787439,D0,D2
digital_rank,34.0,47.0,0.10044856668925076,3.5203830176723225e-05,D0,D2
digital_rank,47.0,51.0,0.02856108216713782,3.5203830176723225e-05,D0,D2
digital_rank,51.0,inf,0.5729154498516459,0.8262690980778709,D0,D2
album_rank,-inf,8.0,0.09535546573838283,0.22132648032105892,D0,D2
album_rank,8.0,24.0,0.10105600074761115,0.11318031401816518,D0,D2
album_rank,24.0,53.0,0.10306520570988015,0.10261916496514821,D0,D2
album_rank,53.0,118.0,0.09972431838889798,0.08663662606491586,D0,D2
album_rank,118.0,201.0,0.0592131392659393,0.0629092445258044,D0,D2
album_rank,201.0,inf,0.5415858701492886,0.4133281701049074,D0,D2
rank,-inf,10.900000000000091,0.1,0.1,D1,D2
rank,10.900000000000091,20.800000000000182,0.1,0.1,D1,D2
rank,20.800000000000182,30.700000000000728,0.1,0.1,D1,D2
rank,30.700000000000728,40.600000000000364,0.1,0.1,D1,D2
rank,40.600000000000364,50.5,0.1,0.1,D1,D2
rank,50.5,60.400000000001455,0.1,0.1,D1,D2
rank,60.400000000001455,70.30000000000109,0.1,0.1,D1,D2
rank,70.30000000000109,80.20000000000073,0.1,0.1,D1,D2
rank,80.20000000000073,90.10000000000036,0.1,0.1,D1,D2
rank,90.10000000000036,inf,0.1,0.1,D1,D2
