familia,config,seed,fold,inicio_validacao,fim_treino,n_treino,n_validacao,iteracoes,tempo_treino_s,tempo_inferencia_s,mcc_treino,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
Gradient Boosting,GB08,42,4,2019-07-31,2019-07-17,34200,8500,100,0.8411779999732971,0.042408900015288964,0.4154554072088232,0.2685993252796293,0.4724631833770426,0.5576190476190476,0.40987049352467625,0.6923529411764706,0.7167857551126714,0.5374796457687172
Gradient Boosting,GB09,42,1,2014-08-27,2014-08-13,8500,8600,100,0.28224519998184405,0.04497960000298917,0.5365170946632942,0.43359583506239113,0.6738839882384389,0.6135312728157702,0.7474058701452713,0.7162790697674418,0.7833213778420571,0.662372972247123
Gradient Boosting,GB09,42,2,2016-04-20,2016-04-06,17100,8600,100,0.4203683999949135,0.0410762999963481,0.4981675900875508,0.35488239042749,0.6068985591616941,0.5510042283298098,0.6754130223517979,0.6859302325581396,0.7439685953588158,0.5851955174660938
Gradient Boosting,GB09,42,3,2017-12-13,2017-11-29,25700,8500,100,0.5822040000057314,0.044589700002688915,0.45883297466839856,0.31231934397960753,0.5552091878589007,0.5110238598610691,0.6077586206896551,0.6810588235294117,0.7138153992020785,0.5216260656200724
Gradient Boosting,GB09,42,4,2019-07-31,2019-07-17,34200,8500,100,0.7234100000059698,0.042297499981941655,0.4268006921895321,0.30246679689450656,0.5522290920924179,0.5159622985709942,0.5939796989849493,0.676235294117647,0.7149706634720359,0.5346908699799532
Gradient Boosting,GB10,42,1,2014-08-27,2014-08-13,8500,8600,100,0.2770498000027146,0.04876959999091923,0.5175212480223605,0.41692230884073606,0.6388168928190273,0.657564344005022,0.6211088052179069,0.7245348837209302,0.7841870000296641,0.6608227849838118
Gradient Boosting,GB10,42,2,2016-04-20,2016-04-06,17100,8600,100,0.42880749999312684,0.04479640000499785,0.488586450144394,0.35022384934333917,0.5786516853932584,0.5905564924114671,0.5672173631357305,0.7034883720930233,0.742970365830248,0.5868963440930856
Gradient Boosting,GB10,42,3,2017-12-13,2017-11-29,25700,8500,100,0.580365100002382,0.0423609999998007,0.4455596684790249,0.2987526459132121,0.5094777562862669,0.5519698239731768,0.4730603448275862,0.7016470588235294,0.7141873197738954,0.5191656408080684
Gradient Boosting,GB10,42,4,2019-07-31,2019-07-17,34200,8500,100,0.7152361000189558,0.04365660002804361,0.4147336394843698,0.2704997283246939,0.4720194647201946,0.5609638554216867,0.40742037101855094,0.6936470588235294,0.7164786601903196,0.5398346864308414
Gradient Boosting,GB11,42,1,2014-08-27,2014-08-13,8500,8600,100,0.2833985000033863,0.04706599999917671,0.5329376304664016,0.43820681017109525,0.675969408291963,0.6174019607843138,0.7468129261784762,0.7191860465116279,0.7835965800734414,0.6612933816514761
Gradient Boosting,GB11,42,2,2016-04-20,2016-04-06,17100,8600,100,0.4370185000007041,0.04517080000368878,0.49408341875732575,0.35650303823229307,0.6075543240484177,0.5525198938992042,0.6747651441528992,0.687093023255814,0.7437657000730552,0.588072629108729
Gradient Boosting,GB11,42,3,2017-12-13,2017-11-29,25700,8500,100,0.5826193999964744,0.04496080000535585,0.4541811901647115,0.31587503464881944,0.5575598556903902,0.5129752564876282,0.610632183908046,0.6825882352941176,0.7129701965847027,0.5198842428261975
Gradient Boosting,GB11,42,4,2019-07-31,2019-07-17,34200,8500,100,0.7206167999829631,0.04409360000863671,0.4276868576604969,0.3044726137021841,0.5521874487956743,0.5191004313000616,0.5897794889744488,0.6784705882352942,0.7164479879141928,0.5370477816263378
Gradient Boosting,GB12,42,1,2014-08-27,2014-08-13,8500,8600,100,0.4045752999954857,0.062642999982927,0.6361366730395832,0.40848520012306017,0.6335214274820802,0.652324120603015,0.6157723095167507,0.7205813953488373,0.7809251275802266,0.6587872653221373
Gradient Boosting,GB12,42,2,2016-04-20,2016-04-06,17100,8600,100,0.56699409999419,0.054219999990891665,0.5505852292773726,0.35737620671166026,0.5837730870712401,0.5945582801477998,0.5733722060252673,0.7065116279069767,0.74455266113943,0.583996241741181
Gradient Boosting,GB12,42,3,2017-12-13,2017-11-29,25700,8500,100,0.7179767999914475,0.05235429998720065,0.49772864283654933,0.2941456955898797,0.5056223342380768,0.5492839090143218,0.46839080459770116,0.7,0.7141337169610611,0.5151268226591224
Gradient Boosting,GB12,42,4,2019-07-31,2019-07-17,34200,8500,100,0.8970428000029642,0.05578530000639148,0.4519105967669239,0.2716142816787551,0.4770678950530743,0.5575842696629213,0.4168708435421771,0.6928235294117647,0.7166546303568945,0.5394352350512579
