date,mean,size,conjunto
2021-09-08,0.06,100,D1
2021-09-15,0.57,100,D1
2021-09-22,0.46,100,D1
2021-09-29,0.29,100,D1
2021-10-06,0.48,100,D1
2021-10-13,0.34,100,D1
2021-10-20,0.2,100,D1
2021-10-27,0.39,100,D1
2021-11-03,0.34,100,D1
2021-11-10,0.04,100,D1
2021-11-17,0.18,100,D1
2021-11-24,0.25,100,D1
2021-12-01,0.16,100,D1
2021-12-08,0.24,100,D1
2021-12-15,0.27,100,D1
2021-12-22,0.39,100,D1
2021-12-29,0.52,100,D1
2022-01-05,0.71,100,D1
2022-01-12,0.08,100,D1
2022-01-19,0.57,100,D1
2022-01-26,0.37,100,D1
2022-02-02,0.4,100,D1
2022-02-09,0.22,100,D1
2022-02-16,0.25,100,D1
2022-02-23,0.52,100,D1
2022-03-02,0.41,100,D1
2022-03-09,0.32,100,D1
2022-03-16,0.12,100,D1
2022-03-23,0.57,100,D1
2022-03-30,0.28,100,D1
2022-04-06,0.31,100,D1
2022-04-13,0.21,100,D1
2022-04-20,0.35,100,D1
2022-04-27,0.25,100,D1
2022-05-04,0.06,100,D1
2022-05-11,0.05,100,D1
2022-05-18,0.14,100,D1
2022-05-25,0.4,100,D1
2022-06-01,0.49,100,D1
2022-06-08,0.27,100,D1
2022-06-15,0.31,100,D1
2022-06-22,0.06,100,D1
2022-06-29,0.7,100,D1
2022-07-06,0.4,100,D1
2022-07-13,0.28,100,D1
2022-07-20,0.47,100,D1
2022-07-27,0.42,100,D1
2022-08-03,0.14,100,D1
2022-08-10,0.52,100,D1
2022-08-17,0.26,100,D1
2022-08-24,0.48,100,D1
2022-08-31,0.11,100,D1
2022-09-07,0.6,100,D1
2022-09-14,0.38,100,D1
2022-09-21,0.39,100,D1
2022-09-28,0.36,100,D1
2022-10-05,0.44,100,D1
2022-10-12,0.43,100,D1
2022-10-19,0.07,100,D1
2022-10-26,0.1,100,D1
2022-11-02,0.42,100,D1
2022-11-09,0.06,100,D1
2022-11-16,0.53,100,D1
2022-11-23,0.28,100,D1
2022-11-30,0.16,100,D1
2022-12-07,0.16,100,D1
2022-12-14,0.15,100,D1
2022-12-21,0.45,100,D1
2022-12-28,0.4,100,D1
2023-01-04,0.6,100,D1
2023-01-11,0.47,100,D1
2023-01-18,0.28,100,D1
2023-01-25,0.38,100,D1
2023-02-01,0.25,100,D1
2023-02-08,0.35,100,D1
2023-02-15,0.22,100,D1
2023-02-22,0.38,100,D1
2023-03-01,0.26,100,D1
2023-03-08,0.06,100,D1
2023-03-15,0.56,100,D1
2023-03-22,0.28,100,D1
2023-03-29,0.22,100,D1
2023-04-05,0.37,100,D1
2023-04-12,0.34,100,D1
2023-04-19,0.31,100,D1
2023-04-26,0.38,100,D1
2023-05-03,0.38,100,D1
2023-05-10,0.28,100,D1
2023-05-17,0.3,100,D1
2023-05-24,0.25,100,D1
2023-05-31,0.18,100,D1
2023-06-07,0.31,100,D1
2023-06-14,0.5,100,D1
2023-06-21,0.15,100,D1
2023-06-28,0.17,100,D1
2023-07-05,0.13,100,D1
2023-07-12,0.08,100,D1
2023-07-19,0.61,100,D1
2023-07-26,0.34,100,D1
2023-08-02,0.08,100,D1
2023-08-09,0.65,100,D1
2023-08-16,0.19,100,D1
2023-08-23,0.47,100,D1
2023-08-30,0.06,100,D1
2023-09-06,0.53,100,D1
2023-09-13,0.12,100,D1
2023-09-20,0.24,100,D1
2023-09-27,0.45,100,D1
2023-10-04,0.4,100,D1
2023-10-11,0.03,100,D1
2023-10-18,0.37,100,D1
2023-10-25,0.52,100,D1
2023-11-01,0.01,100,D1
2023-11-08,0.67,100,D1
2023-11-15,0.42,100,D1
2023-11-22,0.12,100,D1
2023-11-29,0.18,100,D1
2023-12-06,0.35,100,D1
